id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
143,Sydney,Sydney,Sydney,Sydney,2336,6,2,17,51,3330
144,Sydney Airport,Sydney Airport,Sydney Airport,Sydney Airport,,6,2,17,34,51473
145,Tennant Creek,Tennant Creek,Tennant Creek,Tennant Creek,2397,6,3,18,,
146,The Caves (north of Rockhampton),The Caves (north of Rockhampton),The Caves (north of Rockhampton),The Caves (north of Rockhampton),,6,4,19,,
147,Thredbo,Thredbo,Thredbo,Thredbo,2410,6,2,17,,
148,Townsville,Townsville,Townsville,Townsville,2451,6,4,19,51,3350
149,Trinity Beach,Trinity Beach,Trinity Beach,Trinity Beach,,6,4,26,,
150,Undara,Undara,Undara,Undara,2507,6,4,15,,
151,Victor Harbor,Victor Harbor,Victor Harbor,Victor Harbor,2538,6,5,20,,
152,"Wave Rock, Hyden","Wave Rock, Hyden","Wave Rock, Hyden","Wave Rock, Hyden",,6,8,24,,
153,Wilpena Pound,Wilpena Pound,Wilpena Pound,Wilpena Pound,,6,5,7,,
154,"Wilsons Promontory, Tidal River","Wilsons Promontory, Tidal River","Wilsons Promontory, Tidal River","Wilsons Promontory, Tidal River",,6,7,22,,
155,"Wilsons Promontory, Yanakie","Wilsons Promontory, Yanakie","Wilsons Promontory, Yanakie","Wilsons Promontory, Yanakie",,6,7,22,,
156,Hopkins,Hopkins,Hopkins,Hopkins,,7,,29,,
157,Indian Church,Indian Church,Indian Church,Indian Church,,7,,28,,
158,Colchani,Colchani,Colchani,Colchani,,9,,30,,
159,La Paz,La Paz,La Paz,La Paz,1176,9,,,51,3818
160,Madidi Nationalpark,Madidi Nationalpark,Madidi Nationalpark,Madidi Nationalpark,,9,,112,,
161,Sucre,Sucre,Sucre,Sucre,2318,9,,,51,101926
162,Uyuni,Uyuni,Uyuni,Uyuni,2518,9,,,51,119557
163,Central Kalahari,Central Kalahari,Central Kalahari,Central Kalahari,379,10,,33,,
164,Central Kalahari Game Reserve,Central Kalahari Game Reserve,Central Kalahari Game Reserve,Central Kalahari Game Reserve,,10,,33,,
165,Chobe Nationalpark,Chobe Nationalpark,Chobe Nationalpark,Chobe Nationalpark,423,10,,32,,
166,Chobe Nationalpark/Kasane,Chobe Nationalpark/Kasane,Chobe Nationalpark/Kasane,Chobe Nationalpark/Kasane,,10,,32,,
167,Kasane,Kasane,Kasane,Kasane,1041,10,,32,51,3522
168,Khwai,Khwai,Khwai,Khwai,1082,10,,34,,
169,Khwai Community Concession,Khwai Community Concession,Khwai Community Concession,Khwai Community Concession,,10,,34,,
170,Linyanti,Linyanti,Linyanti,Linyanti,1275,10,,35,,
171,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pans,1353,10,,36,,
172,Maun,Maun,Maun,Maun,1447,10,,40,51,3524
173,Moremi Game Reserve,Moremi Game Reserve,Moremi Game Reserve,Moremi Game Reserve,1549,10,,37,,
174,Okavango Delta,Okavango Delta,Okavango Delta,Okavango Delta,1734,10,,38,,
175,Savuti,Savuti,Savuti,Savuti,,10,,39,,
176,Savuti Kanal,Savuti Kanal,Savuti Kanal,Savuti Kanal,2194,10,,39,,
177,Tuli Block,Tuli Block,Tuli Block,Tuli Block,2483,10,,40,,
178,Buzios,Buzios,Buzios,Buzios,294,11,,44,,
179,Cuiaba,Cuiaba,Cuiaba,Cuiaba,503,11,,43,51,121470
180,Foz do Iguazu,Foz do Iguazu,Foz do Iguazu,Foz do Iguazu,693,11,,,,
181,"Foz do Iguazu, Parana","Foz do Iguazu, Parana","Foz do Iguazu, Parana","Foz do Iguazu, Parana",,11,,41,,
182,Miranda,Miranda,Miranda,Miranda,,11,,45,,
183,"Morro de São Paulo, Bahia","Morro de São Paulo, Bahia","Morro de São Paulo, Bahia","Morro de São Paulo, Bahia",,11,,45,,
184,Poconé,Poconé,Poconé,Poconé,,11,,43,,
185,Praia do Forte,Praia do Forte,Praia do Forte,Praia do Forte,1948,11,,,,
186,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,2052,11,,44,51,3825
187,Salvador da Bahia,Salvador da Bahia,Salvador da Bahia,Salvador da Bahia,2121,11,,,51,3826
188,"Ayllu de Quitor, San Pedro de Atacama","Ayllu de Quitor, San Pedro de Atacama","Ayllu de Quitor, San Pedro de Atacama","Ayllu de Quitor, San Pedro de Atacama",,12,,46,,
189,"Castro, Chiloe","Castro, Chiloe","Castro, Chiloe","Castro, Chiloe",,12,,,,
190,"Cerro Alegre, Valparaiso","Cerro Alegre, Valparaiso","Cerro Alegre, Valparaiso","Cerro Alegre, Valparaiso",,12,,48,,
191,Hanga Roa,Hanga Roa,Hanga Roa,Hanga Roa,,12,,47,,
192,"Los Muernos, Los Lagos","Los Muernos, Los Lagos","Los Muernos, Los Lagos","Los Muernos, Los Lagos",,12,,49,,
193,National Park Torres de Paine,National Park Torres de Paine,National Park Torres de Paine,National Park Torres de Paine,,12,,3,,
194,Nationalpark Torres del Paine,Nationalpark Torres del Paine,Nationalpark Torres del Paine,Nationalpark Torres del Paine,,12,,3,,
195,Osterinsel,Osterinsel,Osterinsel,Osterinsel,1772,12,,,51,3806
196,Patagonia National Park - Chacabuco Valley,Patagonia National Park - Chacabuco Valley,Patagonia National Park - Chacabuco Valley,Patagonia National Park - Chacabuco Valley,,12,,,,
197,Puerto Natales,Puerto Natales,Puerto Natales,Puerto Natales,1975,12,,,51,60637
198,Puerto Varas,Puerto Varas,Puerto Varas,Puerto Varas,1979,12,,49,51,119582
199,Punta Arenas,Punta Arenas,Punta Arenas,Punta Arenas,1986,12,,3,51,3796
200,San Pedro de Atacama,San Pedro de Atacama,San Pedro de Atacama,San Pedro de Atacama,2150,12,,46,51,37120
201,Santiago de Chile,Santiago de Chile,Santiago de Chile,Santiago de Chile,2169,12,,48,51,3793
202,Valparaiso,Valparaiso,Valparaiso,Valparaiso,2523,12,,48,34,119574
203,"Hongkong, Kowloon","Hongkong, Kowloon","Hongkong, Kowloon","Hongkong, Kowloon",,13,,,,
204,Tsim Sha Tsui,Tsim Sha Tsui,Tsim Sha Tsui,Tsim Sha Tsui,,13,,,,
205,Tsimshatsui Kowloon Hong Kong,Tsimshatsui Kowloon Hong Kong,Tsimshatsui Kowloon Hong Kong,Tsimshatsui Kowloon Hong Kong,,13,,,,
206,Aitutaki,Aitutaki,Aitutaki,Aitutaki,25,14,,50,51,122100
207,Amuri,Amuri,Amuri,Amuri,,14,,50,,
208,Arorangi,Arorangi,Arorangi,Arorangi,,14,9,52,,
209,Atiu,Atiu,Atiu,Atiu,107,14,,51,51,122103
210,Matavera District,Matavera District,Matavera District,Matavera District,,14,9,52,,
211,Muri,Muri,Muri,Muri,,14,9,52,,
212,Muri Beach,Muri Beach,Muri Beach,Muri Beach,,14,9,52,,
213,Ootu Beach,Ootu Beach,Ootu Beach,Ootu Beach,,14,,50,,
214,Titikaveka,Titikaveka,Titikaveka,Titikaveka,,14,9,52,,
215,"Titikaveka, Rarotonga","Titikaveka, Rarotonga","Titikaveka, Rarotonga","Titikaveka, Rarotonga",,14,,52,,
216,Vaimaanga,Vaimaanga,Vaimaanga,Vaimaanga,,14,9,52,,
217,Boca Tapada,Boca Tapada,Boca Tapada,Boca Tapada,232,15,,53,51,122051
218,Puerto Carrillo,Puerto Carrillo,Puerto Carrillo,Puerto Carrillo,,15,,55,,
219,Puerto Viejo de Talamanca,Puerto Viejo de Talamanca,Puerto Viejo de Talamanca,Puerto Viejo de Talamanca,,15,,54,51,121978
220,San José,San José,San José,San José,,15,,56,,
221,Tamarindo,Tamarindo,Tamarindo,Tamarindo,2359,15,,55,51,121974
222,Guayaquil,Guayaquil,Guayaquil,Guayaquil,811,17,,57,51,3822
223,Quito,Quito,Quito,Quito,2012,17,,,51,3821
224,Samborondón - Guayaquil,Samborondón - Guayaquil,Samborondón - Guayaquil,Samborondón - Guayaquil,,17,,59,,
225,Beachcomber Island,Beachcomber Island,Beachcomber Island,Beachcomber Island,,18,,60,,
226,Beqa Lagoon,Beqa Lagoon,Beqa Lagoon,Beqa Lagoon,192,18,,64,,
227,Castaway Island,Castaway Island,Castaway Island,Castaway Island,,18,,60,,
228,Denarau Island,Denarau Island,Denarau Island,Denarau Island,,18,,64,,
229,Drawaqa Island,Drawaqa Island,Drawaqa Island,Drawaqa Island,,18,,65,,
230,Kuata Island,Kuata Island,Kuata Island,Kuata Island,,18,,65,,
231,Malolo Island,Malolo Island,Malolo Island,Malolo Island,,18,,60,,
232,Malolo Lai Lai Island,Malolo Lai Lai Island,Malolo Lai Lai Island,Malolo Lai Lai Island,,18,,60,,
233,Mamanucas,Mamanucas,Mamanucas,Mamanucas,,18,,60,,
234,Matamanoa Island,Matamanoa Island,Matamanoa Island,Matamanoa Island,,18,,60,,
235,Matangi Island,Matangi Island,Matangi Island,Matangi Island,,18,,61,,
236,Nacula Island,Nacula Island,Nacula Island,Nacula Island,,18,,65,,
237,Nadi Airport,Nadi Airport,Nadi Airport,Nadi Airport,,18,,64,,
238,Natadola Beach,Natadola Beach,Natadola Beach,Natadola Beach,,18,,64,,
239,Naukacuvu Island,Naukacuvu Island,Naukacuvu Island,Naukacuvu Island,,18,,65,,
240,Nukubati Island,Nukubati Island,Nukubati Island,Nukubati Island,,18,,63,,
241,Pacific Harbour,Pacific Harbour,Pacific Harbour,Pacific Harbour,,18,,64,,
242,Rakiraki,Rakiraki,Rakiraki,Rakiraki,2021,18,,64,,
243,Savu Savu,Savu Savu,Savu Savu,Savu Savu,,18,,63,,
244,Tokoriki Island,Tokoriki Island,Tokoriki Island,Tokoriki Island,,18,,60,,
245,Vomo Island,Vomo Island,Vomo Island,Vomo Island,,18,,60,,
246,Waiyevo,Waiyevo,Waiyevo,Waiyevo,,18,,62,,
247,Yasawas,Yasawas,Yasawas,Yasawas,,18,,65,,
248,Arue,Arue,Arue,Arue,,19,,73,,
249,Avatoru,Avatoru,Avatoru,Avatoru,,19,,71,,
250,Bora Bora,Bora Bora,Bora Bora,Bora Bora,243,19,,66,51,3500
251,"Bora Bora, near Matira Beach","Bora Bora, near Matira Beach","Bora Bora, near Matira Beach","Bora Bora, near Matira Beach",,19,,66,,
252,BP 185  Maharepo,BP 185  Maharepo,BP 185  Maharepo,BP 185  Maharepo,,19,,69,,
253,Fare,Fare,Fare,Fare,,19,,68,,
254,Haapiti,Haapiti,Haapiti,Haapiti,,19,,69,,
255,Maiao,Maiao,Maiao,Maiao,,19,,69,,
256,Motu Omee,Motu Omee,Motu Omee,Motu Omee,,19,,66,,
257,Motu Tautau,Motu Tautau,Motu Tautau,Motu Tautau,,19,,72,,
258,Opoa Beach,Opoa Beach,Opoa Beach,Opoa Beach,,19,,70,,
259,Papeete,Papeete,Papeete,Papeete,,19,,73,51,3498
260,Papetoai,Papetoai,Papetoai,Papetoai,,19,,69,,
261,Pirae,Pirae,Pirae,Pirae,,19,,73,,
262,Punaauia,Punaauia,Punaauia,Punaauia,,19,,73,,
263,Rotoava,Rotoava,Rotoava,Rotoava,,19,,67,,
264,"Tahiti, Faa´a","Tahiti, Faa´a","Tahiti, Faa´a","Tahiti, Faa´a",,19,,73,,
265,Taravao,Taravao,Taravao,Taravao,,19,,73,,
266,Temae,Temae,Temae,Temae,,19,,69,,
267,Tetiaroa,Tetiaroa,Tetiaroa,Tetiaroa,2402,19,,73,,
268,Tiahura - Haapiti,Tiahura - Haapiti,Tiahura - Haapiti,Tiahura - Haapiti,,19,,69,,
269,Tikehau,Tikehau,Tikehau,Tikehau,2414,19,,,,
270,Tuherahera,Tuherahera,Tuherahera,Tuherahera,,19,,74,,
